id;Title;Content;Date;Post Type;Langues;Thématiques;Utilisateurs;Écoles;Status
2170;Quelle est la démarche à suivre pour obtenir une césure?;"Vous devez adresser pour accord un mail de demande à votre responsable de majeure en motivant votre projet et en copiant votre référent scolarité et Remy Sart. (ESILV)

Faite une demande explicite sur le sujet à scolarite-emlv@devinci.fr (EMLV) qui assurera le relai.

Pour <strong>Executive Education</strong> :

Vous devez adresser pour accord un mail de demande au service scolarité en mettant votre directeur de programme en copie : scolarite-executive@devinci.fr.

Vous devrez modifier votre projet.";2023-09-01;question;Français;Scolarité>Césure;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2171;Puis-je faire un stage pendant mon année de césure?;Une à deux conventions maximum de stage peuvent vous etre délivrées par l'école pendant votre année de césure;2023-09-01;question;Français;Scolarité>Césure;faculty|staff|student;EMLV|ESILV;publish
2172;Quels sont les frais de scolarité en cas de césure?;vous êtes redevable de la CVEC et de droits d'inscription à taux réduit;2023-09-01;question;Français;Scolarité>Césure;faculty|staff|student;EMLV|ESILV;publish
2173;En cas de césure dois-je me réinscrire?;Vous devez vous inscrire au moment des reinscriptions organisées par l'ESILV avant votre année de césure et vous devrez vous réinscrire l'année suivante avant votre reprise à L'ESILV.;2023-09-01;question;Français;Scolarité>Césure;faculty|staff|student;ESILV;publish
2174;Quels sont les attendus de mon année de césure?;un rapport de césure fera l'objet d'une évaluation non notée;2023-09-01;question;Français;Scolarité>Césure;faculty|staff|student;ESILV;publish
2175;Pendant une césure, mon stage à l'étranger valide-t-il mon expérience à l'international?;La période de césure n'est pas prise en compte pour la diplomation, cependant elle vous permet d'aquérir des expériences en dehors du cadre académique.;2023-09-01;question;Français;Scolarité>Césure;faculty|staff|student;ESILV;publish
2176;Comment candidater aux double-diplômes?;Vous manifester auprès de votre responsable de majeure avant la commission de mobilités.;2023-09-01;question;Français;Scolarité>Diplôme;faculty|staff|student;ESILV;publish
2177;Quelles sont les démarches à suivre une fois que je suis admis dans une école partenaire?;Les démarches peuvent varier en fonction de l'école pour le DD. Cependant il faudra penser à transmettre votre attestation d'inscription à la comptabilité copie la referente scolarité DD.;2023-09-01;question;Français;Scolarité>Diplôme;faculty|staff|student;ESILV;publish
2178;Quand a lieu le prochain jury de diplômes ?;"Les jurys de diplômes se tiennent en général en janvier de l'année suivante après la fin de leur cursus.

Pour <strong>Executive Education</strong> :

Les jurys se déroulent de septembre à décembre en fonction des programmes.

&nbsp;";2023-09-01;question;Français;Scolarité>Diplôme;faculty|staff|student;ESILV|EXECUTIVE;publish
2179;Quand a lieu la cérémonie de remise des diplômes ?;La cérémonie de remise des diplomes se tient en général en mars ou avril de l'année suivante, vous serez informé par le service communication;2023-09-01;question;Français;Scolarité>Diplôme;faculty|staff|student;ESILV|EXECUTIVE;publish
2180;Comment puis-je récupérer un certificat de scolarité?;"Sur votre plateforme, via l'onglet ""scolarité, dans la partie ""documents -certificats"".";2023-09-01;question;Français;Scolarité>Documents;faculty|staff|student;ESILV|EXECUTIVE;publish
2181;Comment puis-je récupérer une attestation ImaginR ?;"Sur votre plateforme, via l'onglet ""scolarité, dans la partie ""documents -certificats"".";2023-09-01;question;Français;Scolarité>Documents;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2182;Comment puis-je récupérer une attestation de réussite après le jury de passage ou de diplôme ?;"ESILV : Après les jurys de passage, vous pourrez le récupérer sur la plateforme,  via l'onglet ""scolarité"", dans la partie ""documents -certificats"".";2023-09-01;question;Français;Scolarité>Documents;faculty|staff|student;ESILV;publish
2183;Comment puis-je récupérer un bulletin de notes?;"A chaque fin de semestre, vous pourrez le télécharger sur votre plateforme, via l'onglet ""scolarité"", dans la partie ""notes"".";2023-09-01;question;Français;Scolarité>Documents;faculty|staff|student;EMLV|ESILV;publish
2184;Comment puis-je récupérer une attestation d'assiduité?;"Contactez votre référent de scolarité.

Pour <strong>Executive Education</strong> :

La demande doit être effectuée à la scolarité : scolarite-executive@devinci.fr";2023-09-01;question;Français;Scolarité>Documents;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2185;Comment puis-je récupérer une lettre de recommandation ?;Contactez votre Responsable de cycle ou de majeure / spécialisation.;2023-09-01;question;Français;Scolarité>Documents;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2186;Comment puis-je récupérer un certificat TOEIC/TOEFL?;Vous devez vous présenter au département des langues afin de le retirer.;2023-09-01;question;Français;Scolarité>Documents;faculty|staff|student;EMLV|ESILV;publish
2187;À qui puis-je demander mon certificat d'assiduité?;Vous pouvez demander votre certificat d'assiduité au bureau d'accueil à l'adresse incoming@devinci.fr.;2023-09-01;question;Français;Scolarité>Documents;faculty|staff|student;EMLV|ESILV;publish
2188;Quelle est la différence entre un visa et un permis de séjour ?;Le visa est le document qui vous permet de franchir la frontière et d'entrer en France. Le titre de séjour est le document qui vous permet de vivre légalement en France.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2189;Je suis venu en France avec un visa VLS-TS. Dois-je demander un titre de séjour à l'arrivée ?;Le cas du visa VLS-TS est particulier : le VLS-TS sert à la fois de visa et de titre de séjour, vous n'avez donc pas besoin de demander un titre de séjour à votre arrivée en France. Vous devrez cependant le valider à votre arrivée sur la plateforme ANEF. Après validation, votre visa VLS-TS devient votre titre de séjour.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2190;Quand dois-je demander le renouvellement de mon visa d'étudiant ?;Vous devez demander le renouvellement de votre visa étudiant entre 4 et 2 mois avant la date d'expiration de votre permis de séjour étudiant actuel. Si, par exemple, votre permis de séjour expire le 1er juin, vous pouvez entamer la procédure à partir du 1er février et vous devez l'avoir terminée avant le 1er avril. Attention, si vous demandez le renouvellement moins de 2 mois à l'avance, vous devrez payer une amende et le traitement de votre demande sera retardé.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2191;Comment demander le renouvellement d'un visa d'étudiant ?;La demande de renouvellement du visa étudiant se fait en ligne, via la plateforme de l'ANEF. Vous n'avez pas besoin de prendre rendez-vous en préfecture.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2192;Dois-je valider mon visa à l'arrivée ?;Tous les visas ne nécessitent pas une validation à l'arrivée. Le VLS-TS est un visa qui doit être validé à l'arrivée, ce qui n'est pas le cas du VLS-T ou du mineur scolarisé.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV|EXECUTIVE;publish
2193;Comment valider mon visa?;Vous devez valider votre visa VLS-TS dans les 3 premiers mois de votre arrivée. Il s'agit d'une procédure en ligne qui ne nécessite pas de se rendre dans une préfecture. Pour valider votre visa, connectez-vous à la plateforme ANEF. Vous aurez besoin d'une adresse électronique valide, des informations relatives à votre visa, de votre date d'arrivée en France, de l'adresse de votre domicile en France et d'une carte bancaire pour payer en ligne les frais de délivrance du titre de séjour.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV|EXECUTIVE;publish
2194;"Je suis venu avec un visa ""mineur scolarisé"" et j'aurai bientôt 18 ans. Que dois-je faire ?";"Si vous êtes venu avec un visa ""mineur scolarisé"", vous n'avez pas besoin de le valider à votre arrivée. En revanche, dès que vous aurez atteint l'âge de 18 ans, vous devrez prendre rendez-vous à votre préfecture pour demander votre première demande de titre de séjour étudiant.";2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV;publish
2195;Je termine bientôt mes études. Quel permis de séjour dois-je demander ?;À la fin de vos études, vous devez vous préparer à un changement de statut, il y a plusieurs solutions : vous pouvez vous rapprochez du Welcome Desk en prévision.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV;publish
2196;Mon titre de séjour me permet-il de travailler en France ?;La possibilité de travailler en France dépend des droits qui vous sont accordés par votre titre de séjour spécifique. Un VLS-TS, par exemple, vous donne le droit de travailler jusqu'à 964 heures par an, ce qui équivaut à 20 heures par semaine.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2197;Puis-je retourner dans mon pays d'origine pour les vacances avec mon visa ?;Cela dépend du type de visa que vous détenez, vérifiez-le soigneusement avant de planifier votre voyage ! Si vous êtes titulaire d'un visa étudiant VLS-TS à entrées multiples, vous êtes autorisé, pendant sa durée de validité, à voyager hors de France et à revenir. ATTENTION : vous devez avoir validé votre visa VLS-TS avant de quitter la France pour voyager.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2198;Dois-je ouvrir un compte en banque?;Nous vous conseillons vivement d'ouvrir un compte bancaire pendant votre séjour ! Vous ne pourrez percevoir les remboursements de l'Assurance Maladie et de la CAF que sur un compte bancaire français.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV|EXECUTIVE;publish
2199;Où puis-je ouvrir un compte en banque ?;Vous êtes libre de choisir votre banque, mais nous avons un certain nombre de partenaires qui pourraient vous proposer des offres intéressantes : Société Générale, BNP Paris Bas et Caisse d'Epargne.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV;publish
2200;Dois-je avoir une assurance privée pendant mes études en France ?;Il est fortement recommandé d'être couvert par une assurance privée pendant votre séjour en France afin de garantir le remboursement de tous les frais médicaux que vous pourriez rencontrer, au moins pendant les quatre premiers mois en France, étant donné que l'inscription à l'assurance maladie française peut prendre quelques mois. Cela n'est toutefois pas nécessaire si vous êtes déjà couvert par une carte européenne d'assurance maladie.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV|EXECUTIVE;publish
2201;Comment obtenir un numéro de sécurité sociale ?;Pour obtenir un numéro de sécurité sociale, vous devez vous inscrire à l'Assurance Maladie.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV|EXECUTIVE;publish
2202;Puis-je m'inscrire à l'assurance maladie française ?;"Registering to the French health insurance is free and compulsory. As soon as you have arrived in France, you will be able register on ""l'Assurance Maladie""'s dedicated website, etudiant-etranger.ameli.fr.";2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV;publish
2203;Combien de temps dure l'inscription à l'assurance maladie française ?;Votre inscription complète à l'Assurance Maladie française prendra environ 3 à 4 mois : de l'inscription sur le site web à la réception de votre numéro de sécurité sociale, en passant par l'accès à votre compte Ameli et la réception de votre carte vitale.  Cependant, vous n'avez pas besoin d'attendre la fin de toutes ces étapes pour pouvoir demander le remboursement de certains de vos frais médicaux. En effet, dès que vous avez reçu votre numéro de sécurité sociale, vous êtes considéré comme inscrit à l'Assurance maladie française et vous pouvez bénéficier du remboursement d'une partie de vos frais médicaux.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV|EXECUTIVE;publish
2204;L'Assurance Maladie couvre-t-elle tous mes frais médicaux ?;l'Assurance Maladie française vous permet d'obtenir le remboursement d'une partie de vos dépenses de santé. Selon les actes médicaux, les taux de remboursement varient, mais ils sont en moyenne de l'ordre de 70 %.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV|EXECUTIVE;publish
2205;Comment puis-je obtenir le remboursement de mes frais médicaux ?;Lors de votre inscription à l'Assurance Maladie française, vous aurez accès à votre espace personnel sur le site Ameli de l'assurance maladie française, site qui est lié à votre carte vitale. Comme vous aurez fourni vos coordonnées bancaires lors de votre inscription, les remboursements seront effectués directement sur votre compte bancaire. Veuillez noter que vous ne pouvez utiliser qu'un compte bancaire français.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV|EXECUTIVE;publish
2206;Je me suis inscrit à l'assurance maladie française mais je n'ai pas encore reçu ma carte vitale. Puis-je encore être remboursé.e ?;Si vous êtes affilié à l'Assurance Maladie, vous pouvez prétendre au remboursement d'une partie de vos frais médicaux. Si vous n'avez pas encore votre carte vitale, vous devez demander au médecin de vous fournir une feuille de soins, que vous enverrez par courrier à la Caisse Primaire d'Assurance Maladie (CPAM) dont vous dépendez, accompagnée d'un relevé d'identité bancaire et d'une attestation de droits (provisoire).;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV|EXECUTIVE;publish
2207;Je suis un étudiant européen. Dois-je m'inscrire à l'Assurance Maladie ?;Si vous êtes un étudiant européen, vous pouvez bénéficier du même remboursement de vos frais médicaux qu'un citoyen français, à condition d'être titulaire d'une carte européenne d'assurance maladie en cours de validité.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV;publish
2208;Suis-je éligible à l'aide au logement de la CAF ?;En tant qu'étudiant étranger, vous avez droit aux aides au logement de la CAF si vous remplissez les critères suivants : vous avez un titre de séjour valide, vous louez un appartement et avez le contrat de location à votre nom, vous n'avez pas de lien de parenté avec le propriétaire de l'appartement et vous séjournez en France pendant au moins 8 mois.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV|EXECUTIVE;publish
2209;Comment faire une demande d'aide au logement auprès de la CAF ?;La demande d'aide au logement auprès de la CAF se fait en ligne via : www.caf.fr. Pour faire votre demande, vous devrez fournir : votre convention de logement, le RIB d'un compte bancaire français et le montant de vos ressources financières de l'année précédente.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV|EXECUTIVE;publish
2210;Combien de temps faut-il pour recevoir une aide au logement de la CAF ?;Si votre demande est acceptée, il peut s'écouler plusieurs mois entre votre demande et votre premier versement. Il faut donc s'armer de patience !;2023-09-01;question;Français;International>Incoming;faculty|staff|student;ESILV|EXECUTIVE;publish
2211;Puis-je bénéficier d'un logement CROUS ?;Vous êtes libre de faire une demande de logement auprès du CROUS, mais il est important de se rappeler que l'offre est bien inférieure à la demande. Même pour les étudiants français, il est très rare d'en obtenir un et cela ne peut donc pas être votre premier choix de logement. Vous trouverez toutes les informations nécessaires dans le lien ci-dessous. N'oubliez pas que le site web n'est disponible qu'en français. https://trouverunlogement.lescrous.fr/;2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV;publish
2212;Quel est le coût d'un logement à Paris ?;Comme toutes les capitales, Paris a des loyers élevés. Le loyer moyen d'un studio varie de 750 € à 1 200 € par mois. Il est important de se méfier des logements qui présentent des prix inférieurs, car il peut s'agir d'arnaques.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV;publish
2213;Où puis-je trouver un logement ?;Nous avons conclu un partenariat avec la plateforme de location Studapart, qui centralise des options de logement sûres et vérifiées pour les étudiants : https://devinci.studapart.com/en/;2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV|IIM;publish
2214;Mon propriétaire exige un garant. Comment puis-je en trouver un ?;N'oubliez pas que la plupart des propriétaires n'acceptent pas un garant qui vit à l'étranger. Si c'est votre cas, vous avez quelques autres options. Dans certains cas, la plateforme Studapart peut être votre garant. Sinon, vous pouvez également demander un garant virtuel via VISALE (www.visale.fr) ou Garantme (https://garantme.fr).;2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV;publish
2215;"Puis-je faire signer ""mon learning agreement"" par voie électronique ?";Oui, il vous suffit de nous envoyer votre learning agreement à notre adresse électronique incoming@devinci.fr.;2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV;publish
2216;"Qui est la ""personne responsable de l'institution destinataire"" ?";"La ""personne responsable dans l'institution destinataire"" est Lucile Massé, coordinatrice des relations internationales, Welcome Desk/ Eramsus, incoming@devinci.fr +33 1 80 00 29 75.";2023-09-01;question;Français;International>Incoming;faculty|staff|student;EMLV|ESILV;publish
